k,topic,orig_x,orig_y,cluster
80,43,-0.0357996144676,-0.0619553367993,0
80,44,-0.0358084865942,-0.0193055906688,0
80,45,-0.0240569317904,-0.0157608211604,0
80,46,-0.0279734320494,0.0707579387298,2
80,47,-0.0311723318901,0.0399645920012,7
80,48,-0.0370713694412,-0.0502759841049,0
80,49,-0.0230588373325,0.0978054269856,2
80,50,-0.0217978135052,-0.0461414081209,0
80,51,-0.0677727396681,0.133740840883,9
80,52,-0.0243777495998,-0.0164412756143,0
80,53,0.134647750547,-0.0252793921316,6
80,54,-0.0601036858853,-0.0203475438416,0
80,55,-0.0434616362713,-0.01398925892,0
80,56,-0.0146838849038,-0.010192809431,0
80,57,-0.0437592231852,0.10734377187,2
80,58,-0.00358533238134,-0.00408240661859,3
80,59,-0.0300764526719,-0.00304769550507,7
80,60,-0.0190592829891,-0.015788609597,0
80,61,-0.00755424530703,0.00317472572765,3
80,62,-0.0144556473149,-0.0444543316382,0
80,63,-0.032976996691,0.0320679798437,7
80,64,-0.0638284230515,0.160404836725,9
80,65,-0.0387723811948,-0.0490466817838,0
80,66,-0.0418410583527,-0.0292605382931,0
80,67,-0.00269859480397,-0.0213254258226,3
80,68,-0.0385916897186,-0.0182276009503,0
80,69,-0.0507625504323,0.0214992159921,7
80,70,-0.0205130945635,-0.0221767027061,0
